work_year,experience_level,employment_type,job,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_summary
2021,EN,FT,Cyber Security,Security Engineer,1000000,INR,13523,India,50,India,M,
2020,MI,FT,Cyber Security,Cyber Security Analyst,49100,SEK,5337,Sweden,0,Sweden,L,
2021,MI,FT,Cyber Security,Cyber Security Specialist,62000,EUR,73287,Germany,100,Germany,L,
2020,SE,FT,Cyber Security,Information Security Architect,55000,EUR,62726,Spain,0,Spain,L,
2021,MI,FT,Cyber Security,Cyber Security Analyst,51000,EUR,60284,Germany,100,Germany,M,
2021,SE,FT,Cyber Security,Cyber Security Architect,450000,BRL,83415,Brazil,100,Brazil,L,
2020,MI,FT,DevOps,DevSecOps Engineer,58000,EUR,66147,Belgium,50,Belgium,M,
2020,SE,FT,Cyber Security,Security Engineer,300000,USD,300000,United States,50,United States,L,
2021,MI,FT,Cyber Security,Cyber Security Researcher,1500000,INR,20285,India,0,India,M,
2021,EN,FT,Cyber Security,Cyber Security Analyst,80100,USD,80100,United States,100,United States,L,
2021,SE,FT,Cyber Security,Cyber Security Researcher,175000,USD,175000,United States,0,United States,S,
2020,SE,FT,Cyber Security,Information Security Specialist,200000,RUB,2764,Russia,0,Russia,L,
2021,SE,FT,DevOps,Cloud Security Engineer,82000,USD,82000,United States,100,United States,L,
2020,SE,FT,Cyber Security,Cyber Security Engineer,132000,USD,132000,United States,100,United States,L,
2020,SE,FT,Cyber Security,IT Security Engineer,105000,USD,105000,United States,50,United States,L,
2021,SE,FT,Cyber Security,Security Engineer,106000,USD,106000,United States,100,United States,L,
2020,SE,FT,Cyber Security,Concierge Security Engineer,115000,EUR,131154,Germany,100,Germany,S,
2021,SE,FT,Cyber Security,Information Security Analyst,115000,USD,115000,United States,50,United States,L,
2021,SE,FT,,Penetration Tester,143000,USD,143000,United States,100,United States,L,
2021,EX,FT,Cyber Security,Chief Information Security Officer,289000,USD,289000,United States,100,United States,L,
2021,SE,FT,,Penetration Tester,180000,AUD,135090,Australia,100,Australia,S,
2021,MI,FT,,Penetration Tester,115000,USD,115000,United States,100,United States,L,
